name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York,4/1/2020,14.2,4.3,8.7,14.2,0.2,6.9,-0.2,55.9,0,0,0,,0,0,36.8,28.8,42.4,1009.5,49,16,241.7,20.7,9,,2020-04-01T06:38:39,2020-04-01T19:21:25,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/2/2020,16,4.3,10,16,2.9,9.5,-1.4,45.9,0,0,0,,0,0,54.3,13.2,310.1,1005.8,38,16,222.5,19.1,9,,2020-04-02T06:37:01,2020-04-02T19:22:28,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/3/2020,11.6,7.8,10.2,11.6,6.1,9.9,4.2,67,0.429,100,37.5,rain,0,0,50,25.8,353.8,1005.4,66.8,16,107.1,9.2,5,,2020-04-03T06:35:23,2020-04-03T19:23:31,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/4/2020,16.1,8.3,11,16.1,5.9,10.2,5.8,71.5,0.02,100,8.33,rain,0,0,42.5,18.4,43.7,1015.1,76.4,15,178.5,15.4,9,,2020-04-04T06:33:46,2020-04-04T19:24:33,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/5/2020,18.3,7.9,11.4,18.3,6.9,11.2,7.1,75.7,0,0,0,,0,0,,11.3,243.6,1016.9,60.7,16,150.5,13,8,,2020-04-05T06:32:09,2020-04-05T19:25:36,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/6/2020,19.7,10,13.9,19.7,8.5,13.8,2.6,52.7,0.11,100,12.5,rain,0,0,33.5,21.7,353.8,1015.9,21.6,16,272.5,23.7,9,,2020-04-06T06:30:33,2020-04-06T19:26:39,0.48,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/7/2020,18.9,10.1,14,18.9,10.1,14,0.1,40.3,0,0,0,,0,0,42.5,21.9,205.7,1012.3,27.7,16,240.5,20.9,8,,2020-04-07T06:28:56,2020-04-07T19:27:42,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/8/2020,19.2,10,14.1,19.2,10,14.1,8.7,71.4,0.325,100,12.5,rain,0,0,,13.9,64.4,1001.7,51.7,15,161.9,13.9,7,,2020-04-08T06:27:21,2020-04-08T19:28:45,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/9/2020,14.4,8.4,10.9,14.4,6.5,10.5,5.3,71.3,1.157,100,16.67,rain,0,0,68.1,16,268.6,996,41.5,15.7,85.8,7.2,4,,2020-04-09T06:25:46,2020-04-09T19:29:48,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"D9152,72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/10/2020,9.4,4.3,7.1,8.1,-0.2,4.6,-1.6,54.9,0.019,100,8.33,rain,0,0,66.6,32.8,274.8,997.6,62.4,16,110,9.4,5,,2020-04-10T06:24:11,2020-04-10T19:30:50,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
